applicant_id,age_at_survey,survey_month,survey_form,household_visit,mother_educ,father_educ,mother_age,father_age,father_income_high,receiving_aid_now,started_g6_private,started_g7_private,in_private_now,in_school_now,highest_grade,finished_g6,finished_g7,finished_g8,repeats_g6,ever_repeated,total_repeats,years_in_school,married_or_cohab,has_child,working,hours_worked
100828,16,6,0,0,2.0,4.0,48.0,46.0,0,0,1,1,1,1,8,1,1,1,0,0,0,4,0,0,0,0.0
101440,13,5,0,0,6.0,6.0,38.0,41.0,0,0,1,1,1,1,8,1,1,1,0,0,0,4,0,0,0,0.0
100565,16,8,1,0,,,45.0,64.0,0,0,0,0,0,1,6,1,0,0,0,0,0,2,0,0,0,0.0
100458,14,3,0,1,8.0,5.0,39.0,38.0,0,1,1,1,1,1,8,1,1,1,0,0,0,4,0,0,0,0.0
100585,15,4,0,0,,,35.0,44.0,,0,0,0,0,1,10,1,1,1,0,0,0,6,0,0,0,0.0
100270,14,4,0,0,6.0,,44.0,,,0,1,1,0,0,7,1,1,0,0,0,0,3,0,1,0,0.0
101049,17,3,0,0,,,42.0,50.0,0,0,1,1,0,0,7,1,1,0,0,0,0,3,0,1,1,40.0
101364,15,4,0,0,5.0,5.0,50.0,60.0,0,0,1,0,0,0,5,0,0,0,0,0,0,1,0,0,1,40.0
100514,14,3,0,0,5.0,2.0,47.0,47.0,0,1,1,1,1,1,8,1,1,1,0,0,0,4,0,0,0,0.0
100511,16,6,1,1,11.0,11.0,28.0,37.0,0,0,1,1,1,1,8,1,1,1,1,1,1,6,0,0,0,0.0
100720,15,6,1,1,2.0,5.0,34.0,38.0,0,0,1,1,1,1,9,1,1,1,0,0,0,6,0,0,0,0.0
101479,17,5,0,0,3.0,0.0,43.0,91.0,0,0,0,1,0,0,9,1,1,1,0,0,0,2,0,0,1,40.0
101048,11,8,1,0,11.0,11.0,33.0,34.0,,1,1,1,1,1,6,1,0,0,0,0,0,2,0,0,0,0.0
100023,15,3,0,0,5.0,8.0,38.0,35.0,0,0,1,1,1,1,8,1,1,1,0,0,0,4,0,0,0,0.0
100294,14,3,0,0,9.0,,42.0,52.0,,0,1,0,0,1,8,1,1,1,0,0,0,4,0,0,0,0.0
101280,17,7,1,0,5.0,,33.0,,,0,1,1,1,1,6,1,0,0,0,0,0,2,0,0,0,0.0
100367,18,7,1,0,,,,,,0,1,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0.0
